ROW ID,STATUS,ZONE,ODD_EVEN,ADDRESS RANGE - LOW,ADDRESS RANGE - HIGH,STREET DIRECTION,STREET NAME,STREET TYPE,SECOND STREET DIRECTION,BUFFER,WARD - LOW,WARD - HIGH
5962,ACTIVE,1425,O,2301,2399,N,MULLIGAN,AVE,,N,36.0,36.0
5670,ACTIVE,432,O,7401,7435,S,LOWE,AVE,,N,6.0,6.0
684,ACTIVE,5,E,800,838,S,BISHOP,ST,,N,28.0,28.0
3851,ACTIVE,56,E,6414,6458,N,WAYNE,AVE,,N,49.0,49.0
1363,ACTIVE,725,E,9800,9898,S,FOREST,AVE,,N,9.0,9.0
3303,ACTIVE,143,E,2700,2788,N,RACINE,AVE,,N,43.0,43.0
6480,ACTIVE,383,O,3201,3299,N,PAULINA,ST,,Y,47.0,47.0
6479,ACTIVE,383,E,3200,3298,N,PAULINA,ST,,Y,47.0,47.0
6545,ACTIVE,718,O,3905,3939,W,POTOMAC,AVE,,N,37.0,37.0
6776,ACTIVE,651,O,1301,1399,W,72ND,PL,,N,6.0,6.0
1460,ACTIVE,1022,E,4700,4758,S,CAMPBELL,AVE,,N,15.0,15.0
7339,ACTIVE,74,E,2,50,W,SCHILLER,ST,,N,2.0,2.0
5150,ACTIVE,747,O,1501,1599,N,KARLOV,AVE,,N,26.0,26.0
3607,ACTIVE,4,E,4900,4998,W,51ST,ST,,N,22.0,22.0
7259,ACTIVE,1564,E,1212,1248,W,OHIO,ST,,N,1.0,1.0
4662,ACTIVE,1476,E,1400,1460,S,EMERALD,AVE,,N,11.0,11.0
120,ACTIVE,252,O,1827,1899,W,46TH,ST,,N,15.0,15.0
1951,ACTIVE,1214,E,3906,3958,W,HURON,ST,,N,37.0,37.0
5130,ACTIVE,1222,O,2101,2199,N,KEDVALE,AVE,,N,35.0,35.0
4470,ACTIVE,154,O,1401,1499,N,ELK GROVE,AVE,,N,2.0,2.0
5543,ACTIVE,354,O,2105,2149,N,MONITOR,AVE,,N,36.0,36.0
5012,ACTIVE,1673,O,811,855,S,FINANCIAL,PL,,N,25.0,25.0
7685,ACTIVE,1646,O,6301,6399,S,KOMENSKY,AVE,,N,23.0,13.0
3572,ACTIVE,1408,E,2100,2198,N,TRIPP,AVE,,N,35.0,35.0
3797,ACTIVE,90,O,3945,3999,N,PULASKI,RD,,Y,45.0,45.0
5903,ACTIVE,354,O,2101,2127,N,MANGO,AVE,,N,36.0,36.0
6580,ACTIVE,95,O,2901,2957,N,TROY,ST,,N,33.0,33.0
2347,RESCINDED,162,E,3500,3542,N,OLCOTT,AVE,,N,38.0,38.0
8825,ACTIVE,1839,O,3215,3253,N,OLEANDER,AVE,,N,29.0,29.0
1007,ACTIVE,1675,E,1400,1498,W,14TH,ST,,N,28.0,28.0
1159,ACTIVE,79,O,801,999,W,GUNNISON,ST,,N,46.0,46.0
7414,RESCINDED,1532,O,3507,3559,W,57TH,ST,,N,23.0,23.0
556,ACTIVE,52,O,2735,2757,W,64TH,ST,,N,17.0,17.0
1721,RESCINDED,625,O,2001,2099,N,LAPORTE,AVE,,N,36.0,36.0
3969,ACTIVE,358,E,860,898,N,DEARBORN,ST,,Y,2.0,2.0
5528,ACTIVE,162,O,2901,2999,N,MOBILE,AVE,,N,30.0,30.0
3111,ACTIVE,811,E,8458,8500,S,PAULINA,ST,,Y,21.0,21.0
6753,ACTIVE,738,O,401,499,S,CLINTON,ST,,Y,25.0,25.0
4120,ACTIVE,867,O,6101,6199,N,CLAREMONT,AVE,,N,40.0,40.0
3628,ACTIVE,1331,E,900,998,W,15TH,PL,,Y,11.0,11.0
2239,ACTIVE,4,O,5203,5259,S,KILPATRICK,AVE,,N,14.0,14.0
7261,ACTIVE,1566,E,1900,1942,N,KEDVALE,AVE,,N,35.0,35.0
5335,ACTIVE,64,O,7515,7557,S,HARVARD,AVE,,N,6.0,6.0
6695,ACTIVE,1477,O,3301,3399,N,NEVA,AVE,,N,29.0,29.0
7407,ACTIVE,143,O,2145,2199,N,CLIFTON,AVE,,Y,43.0,43.0
7884,ACTIVE,29,E,5702,5710,S,NAGLE,AVE,,N,13.0,13.0
8348,ACTIVE,168,O,1101,1199,N,LEAVITT,ST,,Y,2.0,2.0
7669,ACTIVE,738,O,701,701,W,VAN BUREN,ST,,Y,25.0,25.0
3352,ACTIVE,146,O,4815,4855,N,RIDGEWAY,AVE,,N,35.0,35.0
1763,ACTIVE,148,O,4815,4855,W,LEXINGTON,ST,,N,29.0,29.0
4367,ACTIVE,5,O,1501,1519,W,POLK,ST,,N,28.0,28.0
8246,ACTIVE,350,E,800,852,N,LA SALLE,DR,,Y,2.0,2.0
2907,ACTIVE,74,E,1200,1258,N,STATE,PKWY,,N,2.0,2.0
8326,ACTIVE,143,O,1001,1099,W,WRIGHTWOOD,AVE,,Y,43.0,43.0
2119,ACTIVE,1238,E,1900,1998,N,HARDING,AVE,,N,26.0,26.0
3757,ACTIVE,1673,E,1000,1096,S,PLYMOUTH,CT,,Y,4.0,4.0
3785,ACTIVE,1129,E,2700,2798,S,PRAIRIE,AVE,,N,4.0,4.0
7011,ACTIVE,143,E,1900,1998,N,CLYBOURN,AVE,,Y,2.0,2.0
7868,ACTIVE,92,O,4701,4707,N,MAPLEWOOD,AVE,,Y,40.0,40.0
457,ACTIVE,567,E,2600,2652,W,23RD,ST,,N,24.0,24.0
2755,ACTIVE,238,O,4021,4027,N,TRIPP,AVE,,N,45.0,45.0
5139,ACTIVE,663,O,1901,1999,N,KEELER,AVE,,N,35.0,35.0
3088,ACTIVE,1206,E,3100,3198,N,PARKSIDE,AVE,,N,31.0,31.0
5966,ACTIVE,119,O,159,171,W,GOETHE,ST,,N,2.0,2.0
5908,ACTIVE,1186,O,2101,2299,N,MARMORA,AVE,,N,36.0,36.0
2687,ACTIVE,1168,E,2100,2164,N,MULLIGAN,AVE,,N,36.0,36.0
2728,ACTIVE,26,E,1614,1656,N,NATOMA,AVE,,N,29.0,29.0
5712,ACTIVE,886,E,3920,3974,N,OLEANDER,AVE,,N,38.0,38.0
2715,ACTIVE,1198,O,5701,5787,S,NARRAGANSETT,AVE,,Y,13.0,13.0
1627,ACTIVE,64,E,7514,7558,S,HARVARD,AVE,,N,6.0,6.0
7890,ACTIVE,1301,O,3001,3001,N,OCTAVIA,AVE,,Y,29.0,29.0
853,ACTIVE,93,E,2500,2580,N,AVERS,AVE,,N,31.0,31.0
7613,ACTIVE,102,O,1815,1965,N,WESTERN,AVE,,Y,32.0,32.0
6523,ACTIVE,1673,O,1001,1097,S,PLYMOUTH,CT,,Y,4.0,4.0
5864,ACTIVE,750,O,2609,2659,N,LAWNDALE,AVE,,N,31.0,35.0
1813,ACTIVE,5,O,901,927,S,LOOMIS,ST,,N,28.0,28.0
4255,ACTIVE,1203,O,4809,5025,N,ASHLAND,AVE,,Y,47.0,47.0
5010,ACTIVE,1673,O,601,657,S,FINANCIAL,PL,,Y,4.0,4.0
972,ACTIVE,185,E,3100,3144,W,39TH,PL,,N,12.0,12.0
7917,ACTIVE,1731,E,4038,4058,W,DICKENS,AVE,,N,26.0,26.0
1810,ACTIVE,5,E,700,752,S,LOOMIS,ST,,N,28.0,28.0
7022,ACTIVE,153,E,1100,1100,N,LAKE SHORE,DR,,Y,2.0,2.0
1319,ACTIVE,619,E,6200,6298,S,FAIRFIELD,AVE,,N,16.0,16.0
8101,ACTIVE,1746,O,6201,6243,S,KEELER,AVE,,N,23.0,23.0
1475,RESCINDED,793,E,7000,7098,S,CARPENTER,ST,,N,6.0,6.0
